,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,IN,77565,800405.0,,991.0,9678.0,290.0,1975.0,86.0,,57209.0,A+,8/12/2020 23:59,2020-08-12T23:59:00Z,08/12 19:59,3105.0,9678.0,2020-08-12T23:59:00Z,1114002.0,,,,2898.0,207.0,,877970.0,,,,,,,,,,,18,1043,9933,877970,877970,10976,877970,19,0,176510b3fbe0ad3e007c6221d38d21246f187d29,0,0,0,0,0,
1,20200812,IN,76522,790472.0,,936.0,9678.0,294.0,1975.0,84.0,,57209.0,A+,8/11/2020 23:59,2020-08-11T23:59:00Z,08/11 19:59,3086.0,9678.0,2020-08-11T23:59:00Z,1097934.0,,,,2878.0,208.0,,866994.0,,,,,,,,,,,18,660,4679,866994,866994,5339,866994,17,79,b7e7c2e86c772398d8fb5bd3217506d333c1b6ae,0,0,0,0,0,
2,20200811,IN,75862,785793.0,,964.0,9599.0,327.0,1961.0,87.0,,56349.0,A+,8/10/2020 23:59,2020-08-10T23:59:00Z,08/10 19:59,3069.0,9599.0,2020-08-10T23:59:00Z,1090369.0,,,,2863.0,206.0,,861655.0,,,,,,,,,,,18,870,8674,861655,861655,9544,861655,25,245,bb4421d687abac63568e077f8ebc0f3aa3cb42ca,0,0,0,0,0,
3,20200810,IN,74992,777119.0,,921.0,9354.0,305.0,1927.0,81.0,,54068.0,A+,8/9/2020 23:59,2020-08-09T23:59:00Z,08/09 19:59,3044.0,9354.0,2020-08-09T23:59:00Z,1076630.0,,,,2838.0,206.0,,852111.0,,,,,,,,,,,18,664,10322,852111,852111,10986,852111,3,0,003baf608a41f1786a21aeb6e8232725f92d2259,0,0,0,0,0,
4,20200809,IN,74328,766797.0,,960.0,9354.0,289.0,1927.0,78.0,,54068.0,A+,8/8/2020 23:59,2020-08-08T23:59:00Z,08/08 19:59,3041.0,9354.0,2020-08-08T23:59:00Z,1057194.0,,,,2835.0,206.0,,841125.0,,,,,,,,,,,18,1041,11618,841125,841125,12659,841125,5,0,63a0784c5fa0d18e09d8697f547f4e3982e4f808,0,0,0,0,0,
5,20200808,IN,73287,755179.0,,960.0,9354.0,284.0,1927.0,85.0,,54068.0,A+,8/7/2020 23:59,2020-08-07T23:59:00Z,08/07 19:59,3036.0,9354.0,2020-08-07T23:59:00Z,1039524.0,,,,2834.0,202.0,,828466.0,,,,,,,,,,,18,1033,10329,828466,828466,11362,828466,13,0,7a73236ad6297cc0e233a51513452ec58386b983,0,0,0,0,0,
6,20200807,IN,72254,744850.0,,990.0,9354.0,295.0,1927.0,76.0,,54068.0,A+,8/6/2020 23:59,2020-08-06T23:59:00Z,08/06 19:59,3023.0,9354.0,2020-08-06T23:59:00Z,1023328.0,,,,2821.0,202.0,,817104.0,,,,,,,,,,,18,1239,11520,817104,817104,12759,817104,10,87,0949369d21b81022d3d1373d31623427f1582a1d,0,0,0,0,0,
7,20200806,IN,71015,733330.0,,1009.0,9267.0,301.0,1923.0,82.0,,53301.0,A+,8/5/2020 23:59,2020-08-05T23:59:00Z,08/05 19:59,3013.0,9267.0,2020-08-05T23:59:00Z,1004353.0,,,,2811.0,202.0,,804345.0,,,,,,,,,,,18,1040,11080,804345,804345,12120,804345,6,119,567fedca5178fce1ba093dec7d48f3b68a3c6f99,0,0,0,0,0,
8,20200805,IN,69975,722250.0,,923.0,9148.0,308.0,1894.0,93.0,,51709.0,A+,8/4/2020 23:59,2020-08-04T23:59:00Z,08/04 19:59,3007.0,9148.0,2020-08-04T23:59:00Z,987706.0,,,,2805.0,202.0,,792225.0,,,,,,,,,,,18,720,6487,792225,792225,7207,792225,11,0,23c20acc55c37e038b09ec70e19fdafc149846cb,0,0,0,0,0,
9,20200804,IN,69255,715763.0,,980.0,9148.0,375.0,1894.0,83.0,,43535.0,A+,8/3/2020 23:59,2020-08-03T23:59:00Z,08/03 19:59,2996.0,9148.0,2020-08-03T23:59:00Z,977646.0,,,,2794.0,202.0,,785018.0,,,,,,,,,,,18,822,8714,785018,785018,9536,785018,16,144,c7d7d78637ed2bffd04d7aa1270932f30138d024,0,0,0,0,0,
